Date,Exchange_Symbol,Trading_Volume,Volume_Weighted_Average_Price,Open_Price,Close_Price,Highest_Price,Lowest_Price,Unix_Msec_Timestamp,No_of_Transactions
17-08-2021,PWP,537779,13.7178,13.94,13.5,14.01,13.42,1.63E+12,6501
17-08-2021,MEC,89394,15.9575,15.93,16,16.19,15.68,1.63E+12,1111
17-08-2021,ENB,4895266,38.7235,39.14,38.69,39.15,38.395,1.63E+12,22053
17-08-2021,KIQ,614349,0.5489,0.58,0.54,0.588,0.5207,1.63E+12,970
17-08-2021,ENTG,643901,112.95,114.95,112.85,115.11,,1.63E+12,13233
17-08-2021,ARPO,20450134,2.4601,2.0239,2.3,2.68,,1.63E+12,52750
17-08-2021,VIAC,12938824,38.5518,38.21,39.03,39.08,,1.63E+12,86097
17-08-2021,LNTH,954010,23.8,24.77,24.25,24.91,,1.63E+12,9212
17-08-2021,OCG,163698,3.906,3.9,3.84,4.05,,1.63E+12,669
17-08-2021,FIBK,84030,44.6532,44.78,44.8,44.97,,1.63E+12,1770
17-08-2021,VREX,,27.4467,,,,,1.63E+12,2487
17-08-2021,BLK,381697,,,,,,1.63E+12,18091
17-08-2021,ALRN,394720,1.0231,,,,,1.63E+12,915
17-08-2021,RSP,3097707,153.9404,154.48,154.2,154.53,,1.63E+12,27475
17-08-2021,ENFA,98361,9.881,9.9,9.88,9.9,,1.63E+12,367
17-08-2021,MYSZ,207324,1.1084,1.14,1.12,1.14,,1.63E+12,597
17-08-2021,SIBN,661194,20.218,20.41,20.26,20.79,,1.63E+12,4506
17-08-2021,COGT,153910,8.2048,7.94,8.33,8.4,,1.63E+12,1786
17-08-2021,BRZU,198305,104.4567,105.25,104.03,107.41,,1.63E+12,2739
17-08-2021,QQEW,26509,113.2666,113.33,113.65,113.65,,1.63E+12,378
17-08-2021,MNMD,6261883,2.8269,2.95,2.76,2.96,,1.63E+12,19976
17-08-2021,AWH,427469,3.7915,3.88,3.76,3.92,,1.63E+12,3518
17-08-2021,IDRV,92218,49.1542,49.54,49.12,49.54,,1.63E+12,1626
17-08-2021,ADT,3440506,8.5341,8.67,8.48,8.67,,1.63E+12,14995
17-08-2021,CIDM,11194173,1.6626,1.65,1.64,1.72,,1.63E+12,11999
17-08-2021,BUSE,151510,23.3129,23.165,23.32,23.62,,1.63E+12,2137
17-08-2021,CPZ,83457,20.2019,20.38,20.25,20.5,,1.63E+12,366
17-08-2021,CERS,1145895,5.8492,5.85,5.87,5.9177,,1.63E+12,9223
17-08-2021,TpA,63279,26.5259,26.6,26.46,26.66,,1.63E+12,248
17-08-2021,OKTA,917328,229.0202,230.6,230.63,232,,1.63E+12,23306
17-08-2021,PSTV,767859,2.0929,1.92,2.14,2.22,,1.63E+12,2076
17-08-2021,COTY,6227373,7.9061,7.995,7.9,8.01,,1.63E+12,29274
17-08-2021,KC,1082993,26.349,25.37,26.3,27.13,,1.63E+12,13796
17-08-2021,PFHD,40088,19.252,19.6,19.69,19.9199,,1.63E+12,779
17-08-2021,TNYA,296244,22.2913,21.78,22.52,23.6,,1.63E+12,3042
17-08-2021,BHF,476192,47.0517,46.4,47.17,47.52,,1.63E+12,8893
17-08-2021,HNRG,395127,2.2277,2.24,2.2,2.2933,,1.63E+12,899
17-08-2021,PYZ,7882,89.6664,91.13,89.545,91.13,,1.63E+12,274
17-08-2021,IGI,12706,22.0772,21.94,21.92,22.342,,1.63E+12,71
17-08-2021,TALS,43756,12.4064,12.37,12.22,12.84,,1.63E+12,577
17-08-2021,BRQS,3082616,0.729,0.75,0.7234,0.7543,,1.63E+12,5366
17-08-2021,RYF,37811,61.8943,62.25,62.03,62.49,,1.63E+12,337
17-08-2021,CRH,170240,51.7909,52.11,51.72,52.19,,1.63E+12,4030
17-08-2021,LASR,588590,24.5018,25.05,24.69,25.05,,1.63E+12,6234
17-08-2021,LTRPA,640246,3.5244,3.56,3.59,3.61,,1.63E+12,3265
17-08-2021,NYT,1189996,48.4601,48.21,48.61,48.65,,1.63E+12,11890
17-08-2021,JCOM,282326,129.5405,130.02,129.85,130.594,,1.63E+12,6065
17-08-2021,FCOM,53648,54.4341,54.63,54.51,54.78,,1.63E+12,944
17-08-2021,VERX,131431,18.8805,18.72,19.17,19.19,,1.63E+12,2584
